Date,Open,High,Low,Close
2021-01-04,3.553,3.553,3.553,3.553
2021-01-05,3.6405,3.6405,3.6405,3.6405
2021-01-06,3.65,3.65,3.65,3.65
2021-01-07,3.6955,3.6955,3.6955,3.6955
2021-01-08,3.6735,3.6735,3.6735,3.6735
2021-01-11,3.564,3.564,3.564,3.564
2021-01-12,3.605,3.605,3.605,3.605
2021-01-13,3.617,3.617,3.617,3.617
2021-01-14,3.668,3.668,3.668,3.668
2021-01-15,3.603,3.603,3.603,3.603
2021-01-19,3.636,3.636,3.636,3.636
2021-01-20,3.6475,3.6475,3.6475,3.6475
2021-01-21,3.6555,3.6555,3.6555,3.6555
2021-01-22,3.6355,3.6355,3.6355,3.6355
2021-01-25,3.6405,3.6405,3.6405,3.6405
2021-01-26,3.6405,3.6405,3.6405,3.6405
2021-01-27,3.5715,3.5715,3.5715,3.5715
2021-01-28,3.583,3.583,3.583,3.583
2021-01-29,3.5735,3.5735,3.5735,3.5735
2021-02-01,3.562,3.562,3.562,3.562
2021-02-02,3.539,3.539,3.539,3.539
2021-02-03,3.5785,3.5785,3.5785,3.5785
2021-02-04,3.566,3.566,3.566,3.566
2021-02-05,3.639,3.639,3.639,3.639
2021-02-08,3.679,3.679,3.679,3.679
2021-02-09,3.7335,3.7335,3.7335,3.7335
2021-02-10,3.7855,3.7855,3.7855,3.7855
2021-02-11,3.7875,3.7875,3.7875,3.7875
2021-02-12,3.802,3.802,3.802,3.802
2021-02-16,3.848,3.848,3.848,3.848
2021-02-17,3.836,3.836,3.836,3.836
2021-02-18,3.9165,3.9165,3.9165,3.9165
2021-02-19,4.09,4.09,4.09,4.09
2021-02-22,4.1525,4.1525,4.1525,4.1525
2021-02-23,4.1875,4.1875,4.1875,4.1875
2021-02-24,4.301,4.301,4.301,4.301
2021-02-25,4.266,4.266,4.266,4.266
2021-02-26,4.0945,4.0945,4.0945,4.0945
2021-03-01,4.1195,4.1195,4.1195,4.1195
2021-03-02,4.2315,4.2315,4.2315,4.2315
2021-03-03,4.153,4.153,4.153,4.153
2021-03-04,3.991,3.991,3.991,3.991
2021-03-05,4.087,4.087,4.087,4.087
2021-03-08,4.1035,4.1035,4.1035,4.1035
2021-03-09,4.0195,4.0195,4.0195,4.0195
2021-03-10,4.042,4.042,4.042,4.042
2021-03-11,4.143,4.143,4.143,4.143
2021-03-12,4.1455,4.1455,4.1455,4.1455
2021-03-15,4.1465,4.1465,4.1465,4.1465
2021-03-16,4.079,4.079,4.079,4.079
2021-03-17,4.128,4.128,4.128,4.128
2021-03-18,4.128,4.128,4.128,4.128
2021-03-19,4.1235,4.1235,4.1235,4.1235
2021-03-22,4.149,4.149,4.149,4.149
2021-03-23,4.088,4.088,4.088,4.088
2021-03-24,4.0715,4.0715,4.0715,4.0715
2021-03-25,3.985,3.985,3.985,3.985
2021-03-26,4.0785,4.0785,4.0785,4.0785
2021-03-29,4.043,4.043,4.043,4.043
2021-03-30,3.983,3.983,3.983,3.983
2021-03-31,4.003,4.003,4.003,4.003
2021-04-01,4.0035,4.0035,4.0035,4.0035
2021-04-05,4.149,4.149,4.149,4.149
2021-04-06,4.1265,4.1265,4.1265,4.1265
2021-04-07,4.064,4.064,4.064,4.064
2021-04-08,4.1035,4.1035,4.1035,4.1035
2021-04-09,4.0505,4.0505,4.0505,4.0505
2021-04-12,4.03,4.03,4.03,4.03
2021-04-13,4.043,4.043,4.043,4.043
2021-04-14,4.14,4.14,4.14,4.14
2021-04-15,4.2305,4.2305,4.2305,4.2305
2021-04-16,4.18,4.18,4.18,4.18
2021-04-19,4.25,4.25,4.25,4.25
2021-04-20,4.224,4.224,4.224,4.224
2021-04-21,4.2865,4.2865,4.2865,4.2865
2021-04-22,4.2805,4.2805,4.2805,4.2805
2021-04-23,4.343,4.343,4.343,4.343
2021-04-26,4.448,4.448,4.448,4.448
2021-04-27,4.743,4.743,4.743,4.743
2021-04-28,4.537,4.537,4.537,4.537
2021-04-29,4.493,4.493,4.493,4.493
2021-04-30,4.479,4.479,4.479,4.479
2021-05-03,4.543,4.543,4.543,4.543
2021-05-04,4.536,4.536,4.536,4.536
2021-05-05,4.539,4.539,4.539,4.539
2021-05-06,4.619,4.619,4.619,4.619
2021-05-07,4.766,4.766,4.766,4.766
2021-05-10,4.7335,4.7335,4.7335,4.7335
2021-05-11,4.7785,4.7785,4.7785,4.7785
2021-05-12,4.7525,4.7525,4.7525,4.7525
2021-05-13,4.7055,4.7055,4.7055,4.7055
2021-05-14,4.664,4.664,4.664,4.664
2021-05-17,4.7215,4.7215,4.7215,4.7215
2021-05-18,4.7355,4.7355,4.7355,4.7355
2021-05-19,4.5895,4.5895,4.5895,4.5895
2021-05-20,4.582,4.582,4.582,4.582
2021-05-21,4.496,4.496,4.496,4.496
2021-05-24,4.5415,4.5415,4.5415,4.5415
2021-05-25,4.522,4.522,4.522,4.522
2021-05-26,4.533,4.533,4.533,4.533
2021-05-27,4.6665,4.6665,4.6665,4.6665
2021-05-28,4.6825,4.6825,4.6825,4.6825
2021-06-01,4.662,4.662,4.662,4.662
2021-06-02,4.6,4.6,4.6,4.6
2021-06-03,4.4715,4.4715,4.4715,4.4715
2021-06-04,4.5375,4.5375,4.5375,4.5375
2021-06-07,4.535,4.535,4.535,4.535
2021-06-08,4.563,4.563,4.563,4.563
2021-06-09,4.5365,4.5365,4.5365,4.5365
2021-06-10,4.49,4.49,4.49,4.49
2021-06-11,4.5415,4.5415,4.5415,4.5415
2021-06-14,4.532,4.532,4.532,4.532
2021-06-15,4.34,4.34,4.34,4.34
2021-06-16,4.3925,4.3925,4.3925,4.3925
2021-06-17,4.1845,4.1845,4.1845,4.1845
2021-06-18,4.1625,4.1625,4.1625,4.1625
2021-06-21,4.1875,4.1875,4.1875,4.1875
2021-06-22,4.2345,4.2345,4.2345,4.2345
2021-06-23,4.331,4.331,4.331,4.331
2021-06-24,4.3115,4.3115,4.3115,4.3115
2021-06-25,4.299,4.299,4.299,4.299
2021-06-28,4.278,4.278,4.278,4.278
2021-06-29,4.2765,4.2765,4.2765,4.2765
2021-06-30,4.2965,4.2965,4.2965,4.2965
2021-07-01,4.242,4.242,4.242,4.242
2021-07-02,4.282,4.282,4.282,4.282
2021-07-06,4.258,4.258,4.258,4.258
2021-07-07,4.329,4.329,4.329,4.329
2021-07-08,4.2715,4.2715,4.2715,4.2715
2021-07-09,4.3525,4.3525,4.3525,4.3525
2021-07-12,4.323,4.323,4.323,4.323
2021-07-13,4.3145,4.3145,4.3145,4.3145
2021-07-14,4.277,4.277,4.277,4.277
2021-07-15,4.333,4.333,4.333,4.333
2021-07-16,4.3325,4.3325,4.3325,4.3325
2021-07-19,4.2105,4.2105,4.2105,4.2105
2021-07-20,4.2735,4.2735,4.2735,4.2735
2021-07-21,4.2825,4.2825,4.2825,4.2825
2021-07-22,4.348,4.348,4.348,4.348
2021-07-23,4.4065,4.4065,4.4065,4.4065
2021-07-26,4.589,4.589,4.589,4.589
2021-07-27,4.546,4.546,4.546,4.546
2021-07-28,4.479,4.479,4.479,4.479
2021-07-29,4.52,4.52,4.52,4.52
2021-07-30,4.4805,4.4805,4.4805,4.4805
2021-08-02,4.432,4.432,4.432,4.432
2021-08-03,4.383,4.383,4.383,4.383
2021-08-04,4.33,4.33,4.33,4.33
2021-08-05,4.3455,4.3455,4.3455,4.3455
2021-08-06,4.3455,4.3455,4.3455,4.3455
2021-08-09,4.287,4.287,4.287,4.287
2021-08-10,4.3515,4.3515,4.3515,4.3515
2021-08-11,4.364,4.364,4.364,4.364
2021-08-12,4.356,4.356,4.356,4.356
2021-08-13,4.387,4.387,4.387,4.387
2021-08-16,4.322,4.322,4.322,4.322
2021-08-17,4.2,4.2,4.2,4.2
2021-08-18,4.116,4.116,4.116,4.116
2021-08-19,4.0385,4.0385,4.0385,4.0385
2021-08-20,4.1345,4.1345,4.1345,4.1345
2021-08-23,4.2345,4.2345,4.2345,4.2345
2021-08-24,4.255,4.255,4.255,4.255
2021-08-25,4.265,4.265,4.265,4.265
2021-08-26,4.246,4.246,4.246,4.246
2021-08-27,4.3165,4.3165,4.3165,4.3165
2021-08-30,4.361,4.361,4.361,4.361
2021-08-31,4.36,4.36,4.36,4.36
2021-09-01,4.263,4.263,4.263,4.263
2021-09-02,4.29,4.29,4.29,4.29
2021-09-03,4.3255,4.3255,4.3255,4.3255
2021-09-07,4.2775,4.2775,4.2775,4.2775
2021-09-08,4.232,4.232,4.232,4.232
2021-09-09,4.232,4.232,4.232,4.232
2021-09-10,4.448,4.448,4.448,4.448
2021-09-13,4.3635,4.3635,4.3635,4.3635
2021-09-14,4.318,4.318,4.318,4.318
2021-09-15,4.4035,4.4035,4.4035,4.4035
2021-09-16,4.2785,4.2785,4.2785,4.2785
2021-09-17,4.2455,4.2455,4.2455,4.2455
2021-09-20,4.117,4.117,4.117,4.117
2021-09-21,4.128,4.128,4.128,4.128
2021-09-22,4.2525,4.2525,4.2525,4.2525
2021-09-23,4.231,4.231,4.231,4.231
2021-09-24,4.2875,4.2875,4.2875,4.2875
2021-09-27,4.2935,4.2935,4.2935,4.2935
2021-09-28,4.245,4.245,4.245,4.245
2021-09-29,4.2,4.2,4.2,4.2
2021-09-30,4.09,4.09,4.09,4.09
2021-10-01,4.1935,4.1935,4.1935,4.1935
2021-10-04,4.2465,4.2465,4.2465,4.2465
2021-10-05,4.202,4.202,4.202,4.202
2021-10-06,4.157,4.157,4.157,4.157
2021-10-07,4.251,4.251,4.251,4.251
2021-10-08,4.283,4.283,4.283,4.283
2021-10-11,4.3745,4.3745,4.3745,4.3745
2021-10-12,4.329,4.329,4.329,4.329
2021-10-13,4.5205,4.5205,4.5205,4.5205
2021-10-14,4.6315,4.6315,4.6315,4.6315
2021-10-15,4.734,4.734,4.734,4.734
2021-10-18,4.7305,4.7305,4.7305,4.7305
2021-10-19,4.714,4.714,4.714,4.714
2021-10-20,4.756,4.756,4.756,4.756
2021-10-21,4.5865,4.5865,4.5865,4.5865
2021-10-22,4.526,4.526,4.526,4.526
2021-10-25,4.5515,4.5515,4.5515,4.5515
2021-10-26,4.4865,4.4865,4.4865,4.4865
2021-10-27,4.387,4.387,4.387,4.387
2021-10-28,4.4375,4.4375,4.4375,4.4375
2021-10-29,4.3755,4.3755,4.3755,4.3755
2021-11-01,4.402,4.402,4.402,4.402
2021-11-02,4.374,4.374,4.374,4.374
2021-11-03,4.326,4.326,4.326,4.326
2021-11-04,4.326,4.326,4.326,4.326
2021-11-05,4.349,4.349,4.349,4.349
2021-11-08,4.405,4.405,4.405,4.405
2021-11-09,4.38,4.38,4.38,4.38
2021-11-10,4.328,4.328,4.328,4.328
2021-11-11,4.4045,4.4045,4.4045,4.4045
2021-11-12,4.4555,4.4555,4.4555,4.4555
2021-11-15,4.407,4.407,4.407,4.407
2021-11-16,4.3585,4.3585,4.3585,4.3585
2021-11-17,4.273,4.273,4.273,4.273
2021-11-18,4.31,4.31,4.31,4.31
2021-11-19,4.4085,4.4085,4.4085,4.4085
2021-11-22,4.3955,4.3955,4.3955,4.3955
2021-11-23,4.4235,4.4235,4.4235,4.4235
2021-11-24,4.458,4.458,4.458,4.458
2021-11-26,4.2815,4.2815,4.2815,4.2815
2021-11-29,4.337,4.337,4.337,4.337
2021-11-30,4.278,4.278,4.278,4.278
2021-12-01,4.2475,4.2475,4.2475,4.2475
2021-12-02,4.299,4.299,4.299,4.299
2021-12-03,4.2665,4.2665,4.2665,4.2665
2021-12-06,4.337,4.337,4.337,4.337
2021-12-07,4.338,4.338,4.338,4.338
2021-12-08,4.391,4.391,4.391,4.391
2021-12-09,4.33,4.33,4.33,4.33
2021-12-10,4.283,4.283,4.283,4.283
2021-12-13,4.28,4.28,4.28,4.28
2021-12-14,4.254,4.254,4.254,4.254
2021-12-15,4.1795,4.1795,4.1795,4.1795
2021-12-16,4.3005,4.3005,4.3005,4.3005
2021-12-17,4.291,4.291,4.291,4.291
2021-12-20,4.288,4.288,4.288,4.288
2021-12-21,4.338,4.338,4.338,4.338
2021-12-22,4.3895,4.3895,4.3895,4.3895
2021-12-23,4.387,4.387,4.387,4.387
2021-12-27,4.465,4.465,4.465,4.465
2021-12-28,4.42,4.42,4.42,4.42
2021-12-29,4.402,4.402,4.402,4.402
2021-12-30,4.3845,4.3845,4.3845,4.3845
2021-12-31,4.455,4.455,4.455,4.455
2022-01-03,4.4145,4.4145,4.4145,4.4145
2022-01-04,4.466,4.466,4.466,4.466
2022-01-05,4.4045,4.4045,4.4045,4.4045
2022-01-06,4.348,4.348,4.348,4.348
2022-01-07,4.403,4.403,4.403,4.403
2022-01-10,4.3445,4.3445,4.3445,4.3445
2022-01-11,4.4205,4.4205,4.4205,4.4205
2022-01-12,4.564,4.564,4.564,4.564
2022-01-13,4.534,4.534,4.534,4.534
2022-01-14,4.4115,4.4115,4.4115,4.4115
2022-01-18,4.376,4.376,4.376,4.376
2022-01-19,4.4625,4.4625,4.4625,4.4625
2022-01-20,4.5765,4.5765,4.5765,4.5765
2022-01-21,4.5125,4.5125,4.5125,4.5125
2022-01-24,4.403,4.403,4.403,4.403
2022-01-25,4.443,4.443,4.443,4.443
2022-01-26,4.5045,4.5045,4.5045,4.5045
2022-01-27,4.413,4.413,4.413,4.413
2022-01-28,4.303,4.303,4.303,4.303
2022-01-31,4.318,4.318,4.318,4.318
2022-02-01,4.429,4.429,4.429,4.429
2022-02-02,4.491,4.491,4.491,4.491
2022-02-03,4.4665,4.4665,4.4665,4.4665
2022-02-04,4.4835,4.4835,4.4835,4.4835
2022-02-07,4.4615,4.4615,4.4615,4.4615
2022-02-08,4.4595,4.4595,4.4595,4.4595
2022-02-09,4.6005,4.6005,4.6005,4.6005
2022-02-10,4.6575,4.6575,4.6575,4.6575
2022-02-11,4.505,4.505,4.505,4.505
2022-02-14,4.5075,4.5075,4.5075,4.5075
2022-02-15,4.5315,4.5315,4.5315,4.5315
2022-02-16,4.5405,4.5405,4.5405,4.5405
2022-02-17,4.525,4.525,4.525,4.525
2022-02-18,4.5195,4.5195,4.5195,4.5195
2022-02-22,4.51,4.51,4.51,4.51
2022-02-23,4.4815,4.4815,4.4815,4.4815
2022-02-24,4.454,4.454,4.454,4.454
2022-02-25,4.472,4.472,4.472,4.472
2022-02-28,4.4445,4.4445,4.4445,4.4445
2022-03-01,4.5865,4.5865,4.5865,4.5865
2022-03-02,4.6555,4.6555,4.6555,4.6555
2022-03-03,4.7715,4.7715,4.7715,4.7715
2022-03-04,4.929,4.929,4.929,4.929
2022-03-07,4.722,4.722,4.722,4.722
2022-03-08,4.7005,4.7005,4.7005,4.7005
2022-03-09,4.564,4.564,4.564,4.564
2022-03-10,4.6435,4.6435,4.6435,4.6435
2022-03-11,4.616,4.616,4.616,4.616
